日期,s0050,s0056,s00632R,s00878,s1101,s1102,s1216,s1301,s1303,s1326,s1402,s1476,s1590,s1605,s1722,s1802,s2002,s2059,s2105,s2201,s2204,s2207,s2227,s2301,s2303,s2308,s2317,s2323,s2324,s2327,s2330,s2337,s2344,s2345,s2347,s2349,s2352,s2353,s2354,s2356,s2357,s2363,s2371,s2377,s2379,s2382,s2383,s2388,s2395,s2401,s2408,s2409,s2412,s2448,s2454,s2474,s2492,s2498,s2603,s2609,s2610,s2615,s2618,s2633,s2801,s2823,s2880,s2881,s2882,s2883,s2884,s2885,s2886,s2887,s2888,s2890,s2891,s2892,s2912,s3008,s3017,s3034,s3037,s3045,s3231,s3481,s3661,s3663,s3673,s3711,s4904,s4938,s5871,s5876,s5880,s6116,s6239,s6415,s6446,s6505,s6669,s6770,s6919,s8046,s8454,s9904,s9910
2022-03-09,-0.4807692307692308,-0.4807692307692308,-0.9807692307692307,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.9807692307692307,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.9807692307692307,-0.4807692307692308,,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.9807692307692307,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.9807692307692307,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308,-0.4807692307692308
2022-03-10,-0.4375,-0.4375,-0.9423076923076923,-0.4375,-0.4375,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.875,,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.4375,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.4375,-0.9423076923076923,-0.4375,,-0.4375,-0.4375,-0.4375,-0.4375
2022-03-11,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.5817307692307693,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.7980769230769231,-0.28846153846153844,-0.7980769230769231,-0.7980769230769231,-0.5817307692307693,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,,-0.28846153846153844,-0.7980769230769231,-0.28846153846153844,-0.28846153846153844
2022-03-14,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.5721153846153846,-0.5721153846153846,,-0.5721153846153846,-0.5721153846153846,-0.07211538461538461,-0.07211538461538461
2022-03-15,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.1201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,,-0.1201923076923077,-0.6201923076923077,-0.1201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.1201923076923077,-0.6201923076923077,-0.6201923076923077,,-0.1201923076923077,-0.1201923076923077,-0.6201923076923077,-0.1201923076923077
2022-03-16,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.7451923076923077,-0.7451923076923077,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.7451923076923077,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768,-0.24519230769230768
2022-03-17,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154
2022-03-18,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.14903846153846154,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.14903846153846154,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,-0.6490384615384616,,-0.14903846153846154,-0.14903846153846154,-0.6490384615384616,-0.14903846153846154
2022-03-21,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.15865384615384615,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.32211538461538464,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.6682692307692307,,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.15865384615384615,-0.32211538461538464,-0.6682692307692307,-0.15865384615384615,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,,-0.6682692307692307,-0.15865384615384615,-0.6682692307692307,-0.15865384615384615
2022-03-22,-0.6153846153846154,-0.11538461538461539,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.11538461538461539,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.11538461538461539,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.11538461538461539,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,-0.11538461538461539,-0.6153846153846154,,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154
2022-03-23,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,,-0.6778846153846154,-0.1778846153846154,-0.6778846153846154,-0.6778846153846154
2022-03-24,-0.6875,-0.1875,-0.1875,-0.6875,-0.6875,-0.1875,-0.6875,-0.1875,-0.6875,-0.1875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.1875,-0.1875,-0.6875,-0.6875,-0.6875,-0.1875,-0.1875,-0.6875,-0.6875,-0.1875,-0.1875,-0.1875,-0.6875,-0.6875,-0.6875,-0.6875,-0.1875,-0.1875,-0.1875,-0.6875,-0.6875,-0.1875,-0.1875,-0.1875,-0.6875,-0.6875,-0.1875,-0.6875,-0.1875,-0.6875,-0.1875,,-0.6875,-0.1875,-0.6875,-0.6875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.6875,-0.6875,,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.1875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.1875,-0.6875,-0.6875,-0.1875,-0.6875,-0.1875,-0.6875,-0.1875,-0.6875,-0.6875,-0.6875,-0.6875,-0.1875,-0.6875,-0.6875,-0.6875,-0.6875,-0.1875,-0.1875,-0.6875,-0.1875,-0.1875,-0.1875,-0.6875,,-0.6875,-0.6875,-0.6875,-0.6875
2022-03-25,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.19230769230769232,-0.6971153846153846,,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.38461538461538464,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232,-0.6971153846153846,-0.19230769230769232,,-0.6971153846153846,-0.6971153846153846,-0.6971153846153846,-0.19230769230769232
